Epoch,Train Loss,Val Loss,Mean IoU,Time (s)
1,1.154286618743624,0.9731698036193848,0.17414257953563708,6.482447624206543
2,0.6723931474345071,0.6334735453128815,0.2075203111683411,4.9089508056640625
3,0.4643293342420033,0.4921526610851288,0.2256869720547751,4.901155233383179
4,0.35165929794311523,0.423666849732399,0.23287142054392945,4.9429168701171875
5,0.2975878949676241,0.47218751907348633,0.2143487826321086,4.957794904708862
6,0.2647935524582863,0.4249620586633682,0.2078301142174396,4.944158315658569
7,0.24050874475921905,0.4723680466413498,0.18543817491542747,4.855331659317017
8,0.22442102964435304,0.336618572473526,0.1997967205933055,4.886064052581787
9,0.21009315443890436,0.481972873210907,0.1909741641519672,4.98119330406189
10,0.1945367870586259,0.48493124544620514,0.19436493038804808,4.895558834075928
11,0.18368906527757645,0.3100596219301224,0.21145559890109436,4.970273017883301
12,0.17810729146003723,0.32623665779829025,0.2285040012875597,5.0464091300964355
13,0.17738752492836543,0.5404656231403351,0.18393806435851792,4.817196846008301
14,0.16797569287674768,0.6379251778125763,0.16397881577874576,5.084733486175537
15,0.1621601294193949,0.23008686304092407,0.277771659036358,5.016737461090088
16,0.16076324773686274,0.2624846398830414,0.2538247573869016,4.97364068031311
17,0.15993854563151086,0.7183747589588165,0.17571767171201616,5.129313230514526
18,0.15266670339873858,0.4843278229236603,0.1872035059782719,5.091336250305176
19,0.15179530158638954,0.2713673710823059,0.22384973430262814,4.819442510604858
20,0.15104353906852858,0.30185480415821075,0.24602873960009983,4.936097860336304
21,0.14663796020405634,0.3568190783262253,0.19710999195896342,5.066512823104858
22,0.14542869744556292,0.2254047989845276,0.28547616406528553,4.975031852722168
23,0.14029457686202867,0.2745218053460121,0.2639616024603707,4.984896421432495
24,0.13349734991788864,0.41263578832149506,0.2010146090170334,4.915709972381592
25,0.1327267081609794,0.32220643758773804,0.23725541009404072,5.051614284515381
26,0.128135440072843,0.6790484189987183,0.19191032093675114,5.0528244972229
27,0.12922410294413567,0.43865251541137695,0.2265191490024875,5.004029989242554
28,0.12734642145889147,0.35494209825992584,0.24337330471243437,5.0173187255859375
29,0.1262944835637297,0.4920469671487808,0.19665962550224664,5.096858501434326
30,0.12576961144804955,0.5803912878036499,0.19161234932424756,5.038933753967285
31,0.12186405169112342,0.33928045630455017,0.26224755634248786,4.981427192687988
32,0.1259573298905577,0.4883531928062439,0.2117207023040323,4.941893100738525
33,0.12038743602378028,0.3466010242700577,0.24020063255446877,5.079742908477783
34,0.11199040923799787,0.3619888871908188,0.23082980493242058,5.10439658164978
35,0.11074133855955941,0.36938127875328064,0.24074970387121614,5.0410802364349365
36,0.11203919244664055,0.41514259576797485,0.22423843306522356,5.004733562469482
37,0.11183632165193558,0.2852671146392822,0.25314921460437134,5.0085859298706055
38,0.10547916165419988,0.26014210283756256,0.2756916747625504,5.04889702796936
39,0.10183995589613914,0.28176094591617584,0.24842787082482332,5.1420979499816895
40,0.10344622922795159,0.5354615896940231,0.20368836814463337,4.983958959579468
41,0.09767150825687818,0.3858710378408432,0.2406826589013853,4.894466876983643
42,0.10022972470947675,0.2941696345806122,0.26559285776899005,5.087557792663574
43,0.09615862954940115,0.265241838991642,0.2738022075120733,5.043307542800903
44,0.0948575075183596,0.6099569499492645,0.18125018189043524,4.971547365188599
45,0.09018547460436821,0.3511086702346802,0.24511986675309436,5.011976957321167
46,0.09265891063426222,0.3410882502794266,0.2512955620518768,5.068007230758667
47,0.08789079529898507,0.3575237989425659,0.22936708870935027,4.9746105670928955
48,0.0953861799623285,0.4309583455324173,0.2249041079246455,5.04743504524231
49,0.09284352617604393,0.8130354881286621,0.17871146280326244,5.084497690200806
50,0.0835770568145173,0.40523451566696167,0.23241186858227364,5.03489089012146
