--- Training Metrics Summary from: training_metrics_20250507_103631.csv ---
Epoch   | Train Loss   | Val Loss   | Mean IoU   | Time (s)  
105     | 0.2574       | 0.2981     | 0.3025     | 6.23      
106     | 0.2570       | 0.2987     | 0.3024     | 6.31      
107     | 0.2570       | 0.2989     | 0.3022     | 6.14      
108     | 0.2598       | 0.2983     | 0.3028     | 6.09      
109     | 0.2549       | 0.2986     | 0.3023     | 6.12      
110     | 0.2562       | 0.2986     | 0.3026     | 6.02      
111     | 0.2560       | 0.2987     | 0.3026     | 6.11      
112     | 0.2567       | 0.2988     | 0.3022     | 6.27      
113     | 0.2570       | 0.2985     | 0.3023     | 6.02      
114     | 0.2573       | 0.2981     | 0.3030     | 6.07      
115     | 0.2574       | 0.2986     | 0.3026     | 6.07      
116     | 0.2572       | 0.2985     | 0.3027     | 6.10      
117     | 0.2555       | 0.2981     | 0.3031     | 6.38      
118     | 0.2574       | 0.2977     | 0.3033     | 6.36      
119     | 0.2565       | 0.2983     | 0.3029     | 6.39      
120     | 0.2557       | 0.2982     | 0.3029     | 6.34
